gene,Plate,Row,Column,Phenotypes.GenerationTimeWhen,Phenotypes.Monotonicity,CurvePhaseMetaPhenotypes.InitialLagAlternativeModel,Phenotypes.GenerationTimePopulationSize,CurvePhaseMetaPhenotypes.ModalitiesAlternativeModel,Phenotypes.ResidualGrowthAsPopulationDoublings,CurvePhaseMetaPhenotypes.MajorImpulseAveragePopulationDoublingTime,Phenotypes.ExperimentLowPoint,CurvePhaseMetaPhenotypes.InitialLag,CurvePhaseMetaPhenotypes.FirstMinorImpulseYieldContribution,CurvePhaseMetaPhenotypes.TimeBeforeMajorGrowth,Phenotypes.ResidualGrowth,Phenotypes.ExperimentEndAverage,CurvePhaseMetaPhenotypes.InitialAccelerationAsymptoteIntersect,Phenotypes.ExperimentPopulationDoublings,CurvePhaseMetaPhenotypes.Collapses,CurvePhaseMetaPhenotypes.InitialAccelerationAsymptoteAngle,CurvePhaseMetaPhenotypes.FirstMinorImpulseAveragePopulationDoublingTime,CurvePhaseMetaPhenotypes.MajorImpulseYieldContribution,Phenotypes.ColonySize48h,Phenotypes.ChapmanRichardsParamXtra,Phenotypes.ExperimentLowPointWhen,Phenotypes.GenerationTimeStErrOfEstimate,Phenotypes.GenerationTime,Phenotypes.ExperimentGrowthYield,Phenotypes.InitialValue,Phenotypes.ExperimentBaseLine,Phenotypes.GrowthLag,CurvePhaseMetaPhenotypes.Modalities,CurvePhaseMetaPhenotypes.MajorImpulseFlankAsymmetry,Phenotypes.ChapmanRichardsParam2,Phenotypes.ChapmanRichardsParam3,Phenotypes.ChapmanRichardsParam1,Phenotypes.ChapmanRichardsParam4,CurvePhaseMetaPhenotypes.FinalRetardationAsymptoteAngle,Phenotypes.ChapmanRichardsFit,CurvePhaseMetaPhenotypes.FinalRetardationAsymptoteIntersect,k,kt2,log10n2,kt2b,log10n1,popt0
LB,0,0,0,7.0219063333333329,0.95833333333333337,3.6231535170088054,7031.4203975585824,1.0,7.243064549310942,0.51103944569423831,72.156853681252855,3.554304562229825,UndecidedProblem,3.554304562229825,1058147.9686710774,1065179.3890686359,0.55409427344260875,13.815224501133091,0.0,1.0437576711349599,UndecidedProblem,5.5672791080630599,1069264.4547225297,6.174375084533537,1.0635241944444445,0.091062964563162679,0.4551825757830405,1065105.4922430408,74.348295856380133,73.896825594947742,0.54810642029818146,1.0,-0.90281784725679115,29.705227958471763,-1.0419662885483036,2.6118362786847098,1.9602698073047145,-0.94232305371182623,0.99887747285317419,0.16436490167375534,1.52246601006,10.6906137183,3.8470430645,4.64203808871,-0.794995024218,0.160326375944
LB,0,0,1,7.0219063333333329,0.95138888888888884,3.6413297984266859,5223.8283676631199,1.0,7.6032833665316719,0.49215722291752306,46.006164473603775,UndecidedProblem,UndecidedProblem,UndecidedProblem,1010569.2713212156,1015793.0996888786,0.55264597541747751,14.388054610945197,0.0,1.059008355799167,UndecidedProblem,5.793632350955205,1020216.7114933348,5.5205973612789716,1.2340107222222223,0.093486861006660038,0.44082774413908643,1015745.7225051429,47.645698963167398,47.377183735690295,0.54799440285305168,1.0,-0.90678169820739407,27.886876732020909,-1.0298823042847043,2.6522792206668693,2.0065781137565577,-0.96028939528738877,0.99891001589618411,0.16361566814159634,1.57204261577,11.0387359999,3.71798889947,4.7931984368,-1.07520953733,0.0840989285317
LB,0,0,2,7.0219063333333329,0.90277777777777779,4.257640081617545,2389.4253417979166,1.0,8.6337532267943953,0.46281240182576172,40.04060525528287,UndecidedProblem,UndecidedProblem,UndecidedProblem,946710.98650739086,949100.41184918873,0.49228940440968338,14.133082437192639,0.0,1.0299683804459818,UndecidedProblem,5.7706636904885524,952662.82717406633,5.424579699537472,2.4345936388888889,0.10497145937852365,0.41078779710623681,949047.58795466751,53.552710120604779,52.823894521217113,0.41518737154313012,1.0,-0.98410513159319668,29.266360707843852,-0.94036212313480838,2.6469023304822206,2.4869063404833662,-1.0135971685756247,0.99868323146469806,0.16272583175496505,1.68700240095,11.8459728436,3.37829346543,5.14371378358,-1.76542031816,0.0171624656825
LB,0,0,3,7.0219063333333329,0.99305555555555558,3.103516642011062,4798.619787990885,1.0,7.6838579837911034,0.51674209385982195,26.060251341951748,UndecidedProblem,UndecidedProblem,UndecidedProblem,981908.07777795335,986706.69756594428,0.6083545040314734,15.208482682940929,0.0,0.84003454380105191,UndecidedProblem,5.8852725764723814,990567.22127869318,4.8056249304314633,0.19815369444444444,0.092938503636530362,0.45853051838182274,986680.63731460238,26.012773117860831,26.060251341951744,0.62428661438243438,1.0,-1.1425175906093172,-7.7898558092945356,-1.0331955348992088,2.7012565484568185,9.7578768726839247,-0.95975424301217482,0.99908587487099065,0.16297391481565668,1.51134978419,10.6125566215,3.68111634057,4.60814442964,-0.927028089072,0.118296504205
LB_0.1TET,0,0,4,7.0219063333333329,0.99305555555555558,3.4743347239167384,3869.2578132425347,1.0,7.9887918880829609,0.4721331524096683,21.836152097375134,UndecidedProblem,UndecidedProblem,UndecidedProblem,978995.2570490872,982864.5148623297,0.67594017538943263,15.457986287155675,0.0,0.96213264577624924,UndecidedProblem,6.8172299783337458,986683.17880975036,4.5781715001538368,0.19815369444444444,0.098965686205547673,0.42113860463242903,982842.67871023237,21.850436671270053,21.836152097375134,0.57377421434675246,1.0,-1.0343795607124202,27.01744364544798,-0.99498921881202407,2.7146211039242458,2.0747583975215855,-0.99521034348511539,0.99897180736125057,0.15331056545612615,1.64553900397,11.5548207537,3.58762766824,5.01729081794,-1.4296631497,0.0371823513445
LB_0.1TET,0,0,5,7.0219063333333329,1.0,2.9358702732463486,6301.3740266020259,2.0,7.3005167006998466,0.58896735532065303,53.388064793955763,UndecidedProblem,2.0328441254748437,UndecidedProblem,987065.71927474276,993367.09330134478,0.74385915602474639,14.183522080527073,0.0,0.51428285528888773,0.79343857356462533,5.7762766989858783,996953.06672631158,5.8568508580598611,0.19815369444444444,0.082521338899445629,0.51945501361063506,993313.70523655077,53.195279215626947,53.388064793955756,0.64503200306754294,2.0,-0.0,-10.528109246755813,-1.0775268722156204,2.633560569558596,12.406275051167976,-0.91121572985313148,0.99934472026238075,0.16941330027246693,1.33409050224,9.36785854693,3.79943525852,4.06767631217,-0.268241053655,0.539211252095
LB_0.1TET,0,0,6,5.176029472222222,1.0,2.050192531583078,485.79005490081073,2.0,11.029657638902812,0.43892507731883712,3.4689885904743178,UndecidedProblem,1.7998837339928704,UndecidedProblem,1015076.1367300635,1015561.9267849643,0.81920551755415061,18.159331688486482,0.0,0.45292887130780202,0.59135549278839261,7.9916968309100085,1019153.8884931437,1.8613435646772059,0.19815369444444444,0.0050366038836172824,0.42299299140954183,1015558.4577963738,3.4399796459246503,3.4689885904743178,0.552262551792568,2.0,-0.0,-0.43262923587402513,-1.052104224173622,2.8856665128362819,2.4083188514697014,-1.0601078607357055,0.99959928387268049,0.15413313972636877,1.63832501737,8.48001857501,2.68644861968,3.68216177812,-0.995713158439,0.100991969468
LB_0.1TET,0,0,7,7.2053549444444442,1.0,2.864982212933016,11975.502581715733,2.0,6.4179089530073696,0.63572616883842303,100.73166197147044,UndecidedProblem,3.1404983703898059,UndecidedProblem,1011970.0240434561,1023945.5266251718,0.76405916508321847,13.311334123828308,0.0,0.33883953722703936,0.86736735622197292,4.2406196683092041,1027408.9242723559,6.8688502432384073,0.19815369444444444,0.077006547624859589,0.57154984494301075,1023844.7949632003,99.785705244028961,100.73166197147044,0.70546116266327064,2.0,-0.0,-8.3341438797192229,-1.103306232267983,2.5634639034738687,10.127965993724024,-0.9009144381962253,0.99887920724177015,0.16108391620138846,1.21249267432,8.73644008599,4.07829374872,3.79350416239,0.284789586324,1.92659126244
LB_1TET,0,0,8,7.2053549444444442,1.0,2.8408060540963618,13636.065770515606,2.0,6.2206661633560039,0.68231145112216729,155.04921543823284,UndecidedProblem,2.9776561928052132,UndecidedProblem,1003305.9606274745,1016942.0263979901,0.76295890526652743,12.679223590441513,0.0,0.34188353065915089,0.91317571066294068,3.9560443274185779,1020541.985647913,7.4446579716438359,0.19815369444444444,0.071663544611099306,0.61440376809948338,1016786.9771825519,153.91280406137594,155.04921543823284,0.71014032597893584,2.0,-0.0,-11.457893220832901,-1.1237450541661711,2.5169037249271979,13.221997252160513,-0.87056726369634296,0.99895513613409037,0.16832756807491261,1.12792276998,8.12708390762,4.13468908728,3.52891181399,0.605777273296,4.03438437635
LB_1TET,0,0,9,7.2053549444444442,0.93055555555555558,4.5711283053637981,9271.7462210608974,1.0,6.8012685701320876,0.58048181454075376,384.07059106373049,UndecidedProblem,UndecidedProblem,UndecidedProblem,1024792.1711707273,1034063.9173917882,0.58673049293848833,11.342992433507247,0.0,0.91943521343792223,UndecidedProblem,4.5900718632727155,1037547.9950210595,8.6253872286879965,1.9240195833333333,0.084587832621873416,0.51375653470002136,1033665.8410010476,399.44463211778577,398.07639074055311,0.42866717408755639,1.0,-1.0244823727811498,26.779539029839093,-0.92037777453192138,2.408629483181199,2.6460290126884254,-0.94194516908142545,0.99875725684590733,0.1532854475998375,1.34888795216,9.71921647559,3.96716153595,4.22024163074,-0.253080094788,0.558367208332
